,playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,nameFull
2072,buchtry01,1987.0,2.0,13.0,USA,PA,Reading,,,,,,,Ryan,Buchter,Ryan J.,240.0,75.0,L,L,6/20/2014,6/20/2014,buchr001,buchtry01,Ryan J. Buchter
2073,buckeal99,1861.0,1.0,31.0,USA,MI,Detroit,1917.0,7.0,1.0,USA,NY,Syracuse,Al,Buckenberger,Albert C.,,,,,,,bucka801,buckeal99,Albert C. Buckenberger
2074,buckega01,1897.0,10.0,16.0,USA,MN,Heron Lake,1975.0,11.0,14.0,USA,WI,Sand Lake,Garland,Buckeye,Garland Maires,260.0,72.0,B,L,6/19/1918,7/12/1928,buckg101,buckega01,Garland Maires Buckeye
2075,buckega02,1965.0,7.0,22.0,USA,CA,La Mirada,,,,,,,Gary,Buckels,Gary Scott,185.0,72.0,R,R,7/23/1994,8/10/1994,buckg001,buckega02,Gary Scott Buckels
2076,buckied01,1876.0,2.0,13.0,USA,NY,Blenheim,1948.0,12.0,3.0,USA,DC,Washington,Fred,Buckingham,Frederick Bristol,,,,,1895-08-30,1895-08-30,bucke101,buckied01,Frederick Bristol Buckingham
2077,buckjo01,1980.0,7.0,7.0,USA,WY,Kemmerer,,,,,,,John,Buck,Johnathan Richard,245.0,75.0,R,R,6/25/2004,9/28/2014,buckj001,buckjo01,Johnathan Richard Buck
2078,buckldi01,1858.0,9.0,21.0,USA,NY,Troy,1929.0,12.0,12.0,USA,PA,Pittsburgh,Dick,Buckley,Richard D.,195.0,70.0,R,R,1888-04-20,1895-09-28,buckd101,buckldi01,Richard D. Buckley
2079,bucklje01,1890.0,5.0,20.0,USA,CA,Lordsburg,1975.0,8.0,2.0,USA,CA,Westminster,Jess,Buckles,Jesse Robert,205.0,74.0,L,L,9/17/1916,10/3/1916,buckj102,bucklje01,Jesse Robert Buckles
2080,buckljo01,1870.0,3.0,20.0,USA,MA,Marlborough,1942.0,3.0,3.0,USA,MA,Westborough,John,Buckley,John Edward,200.0,73.0,L,R,1890-07-15,1890-07-25,buckj101,buckljo01,John Edward Buckley
2081,bucklke01,1959.0,1.0,16.0,USA,MA,Quincy,,,,,,,Kevin,Buckley,Kevin John,200.0,73.0,R,R,9/4/1984,9/25/1984,buckk001,bucklke01,Kevin John Buckley
2082,bucknbi01,1949.0,12.0,14.0,USA,CA,Vallejo,,,,,,,Bill,Buckner,William Joseph,185.0,72.0,L,L,9/21/1969,5/30/1990,buckb001,bucknbi01,William Joseph Buckner
2083,bucknbi02,1983.0,8.0,27.0,USA,GA,Decatur,,,,,,,Billy,Buckner,William Jennings,205.0,74.0,R,R,8/25/2007,5/24/2014,buckb002,bucknbi02,William Jennings Buckner
2084,bucktr01,1983.0,11.0,18.0,USA,WA,Richland,,,,,,,Travis,Buck,Travis George,230.0,74.0,L,R,4/2/2007,5/28/2012,buckt001,bucktr01,Travis George Buck
2085,budasma01,1952.0,12.0,27.0,USA,PA,Sharon,,,,,,,Mark,Budaska,Mark David,180.0,72.0,B,L,6/6/1978,8/18/1981,budam101,budasma01,Mark David Budaska
2086,budd01,1865.0,12.0,4.0,USA,OH,Groton,1923.0,8.0,22.0,USA,OH,Cleveland,Jay,Budd,Jay Cook,,,,,1890-09-10,1890-09-10,buddu101,budd01,Jay Cook Budd
2087,buddery01,1979.0,8.0,15.0,USA,OK,Midwest City,,,,,,,Ryan,Budde,Ryan Dean,210.0,71.0,R,R,7/31/2007,5/12/2010,buddr001,buddery01,Ryan Dean Budde
2088,buddido01,1934.0,5.0,5.0,USA,SC,Turbeville,2011.0,6.0,30.0,USA,SC,Greenville,Don,Buddin,Donald Thomas,178.0,71.0,R,R,4/17/1956,9/25/1962,buddd101,buddido01,Donald Thomas Buddin
2089,buddimi01,1970.0,12.0,12.0,USA,OH,Berea,,,,,,,Mike,Buddie,Michael Joseph,210.0,75.0,R,R,4/6/1998,5/26/2002,buddm001,buddimi01,Michael Joseph Buddie
2090,budnimi01,1919.0,9.0,15.0,USA,OR,Astoria,1999.0,12.0,2.0,USA,WA,Seattle,Mike,Budnick,Michael Joe,200.0,73.0,R,R,4/18/1946,6/22/1947,budnm101,budnimi01,Michael Joe Budnick
2091,budzima01,1973.0,8.0,26.0,USA,MD,Baltimore,,,,,,,Mark,Budzinski,Mark Joseph,180.0,74.0,L,L,8/3/2003,8/8/2003,budzm001,budzima01,Mark Joseph Budzinski
2092,buechst01,1961.0,9.0,26.0,USA,CA,Lancaster,,,,,,,Steve,Buechele,Steven Bernard,190.0,74.0,R,R,7/19/1985,7/29/1995,buecs001,buechst01,Steven Bernard Buechele
2093,buehrma01,1979.0,3.0,23.0,USA,MO,St. Charles,,,,,,,Mark,Buehrle,Mark Alan,240.0,74.0,L,L,7/16/2000,9/24/2014,buehm001,buehrma01,Mark Alan Buehrle
2094,bueloch01,1877.0,1.0,12.0,USA,IA,Dubuque,1951.0,5.0,4.0,USA,IA,Dubuque,Charlie,Buelow,Charles John,,,R,R,6/1/1901,8/1/1901,buelc101,bueloch01,Charles John Buelow
2095,buelofr01,1876.0,2.0,13.0,Germany,,Berlin,1933.0,12.0,27.0,USA,MI,Detroit,Fritz,Buelow,Frederick William Alexander,170.0,70.0,R,R,1899-09-28,7/13/1907,buelf101,buelofr01,Frederick William Alexander Buelow
2096,buenofr01,1981.0,3.0,5.0,Cuba,La Habana,La Habana,,,,,,,Francisley,Bueno,Francisley,205.0,71.0,L,L,8/13/2008,9/24/2014,buenf001,buenofr01,Francisley Bueno
2097,buentja01,1983.0,9.0,28.0,USA,IN,Evansville,,,,,,,Jay,Buente,Jay Phillip,185.0,74.0,R,R,5/27/2010,7/26/2011,buenj001,buentja01,Jay Phillip Buente
2098,buesar01,1888.0,3.0,3.0,USA,WI,Milwaukee,1954.0,11.0,7.0,USA,WI,Whitefish Bay,Art,Bues,Arthur Frederick,184.0,71.0,R,R,4/17/1913,10/4/1914,buesa101,buesar01,Arthur Frederick Bues
2099,buffich01,1861.0,6.0,14.0,USA,MA,Fall River,1907.0,9.0,23.0,USA,MA,Fall River,Charlie,Buffinton,Charles G.,180.0,73.0,R,R,1882-05-17,1892-06-28,buffc101,buffich01,Charles G. Buffinton
2100,buforda01,1970.0,6.0,12.0,USA,MD,Baltimore,,,,,,,Damon,Buford,Damon Jackson,170.0,70.0,R,R,5/4/1993,5/15/2001,bufod001,buforda01,Damon Jackson Buford
2101,bufordo01,1937.0,2.0,2.0,USA,TX,Linden,,,,,,,Don,Buford,Don Alvin,160.0,67.0,B,R,9/14/1963,10/3/1972,bufod101,bufordo01,Don Alvin Buford
2102,buhlbo01,1928.0,8.0,12.0,USA,MI,Saginaw,2001.0,2.0,16.0,USA,FL,Titusville,Bob,Buhl,Robert Ray,180.0,74.0,R,R,4/17/1953,4/30/1967,buhlb101,buhlbo01,Robert Ray Buhl
2103,buhneja01,1964.0,8.0,13.0,USA,KY,Louisville,,,,,,,Jay,Buhner,Jay Campbell,205.0,75.0,R,R,9/11/1987,10/7/2001,buhnj001,buhneja01,Jay Campbell Buhner
